From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
6505;2077;sea;17954;-1;-1;-1;-1;;Strait of Tion
5391;9724;sea;15432;-1;-1;-1;-1;;Paperhelm I
5311;9724;sea;17536;-1;-1;-1;-1;;Paperhelm II
8694;5229;sea;10750;-1;-1;-1;-1;;Tistlas-Tiefstein
8395;566;sea;10818;-1;-1;-1;-1;;Silbervelt-Kristerlach
5643;774;sea;13902;-1;-1;-1;-1;;Ithnarond-Ciri
4537;1304;sea;16943;-1;-1;-1;-1;;Hathliss I
256;7122;sea;13887;-1;-1;-1;-1;;Hathliss II
9720;8701;sea;18009;-1;-1;-1;-1;;Sulfurisle I
9720;8745;sea;18009;-1;-1;-1;-1;;Sulfurisle II
8950;4396;sea;13161;-1;-1;-1;-1;;Cumail NaMara-Xarus
4301;4874;impassable;-1;-1;-1;-1;-1;;Khorinor
4301;7184;impassable;-1;-1;-1;-1;-1;;Khorinor
4301;7199;impassable;-1;-1;-1;-1;-1;;Khorinor
4301;7104;impassable;-1;-1;-1;-1;-1;;Khorinor
4829;7199;impassable;-1;-1;-1;-1;-1;;Khorinor
4829;7211;impassable;-1;-1;-1;-1;-1;;Khorinor
4829;4874;impassable;-1;-1;-1;-1;-1;;Khorinor
4829;7198;impassable;-1;-1;-1;-1;-1;;Khorinor
4829;3096;impassable;-1;-1;-1;-1;-1;;Khorinor
7121;3096;impassable;-1;-1;-1;-1;-1;;Khorinor
7128;3096;impassable;-1;-1;-1;-1;-1;;Khorinor
7128;2878;impassable;-1;-1;-1;-1;-1;;Khorinor
7128;7153;impassable;-1;-1;-1;-1;-1;;Khorinor
7128;7095;impassable;-1;-1;-1;-1;-1;;Khorinor
4829;7104;impassable;-1;-1;-1;-1;-1;;Khorinor
4301;2039;impassable;-1;-1;-1;-1;-1;;Khorinor
1330;5196;impassable;-1;-1;-1;-1;-1;;Oramfell
1330;6875;impassable;-1;-1;-1;-1;-1;;Oramfell
1330;1189;impassable;-1;-1;-1;-1;-1;;Oramfell
1330;473;impassable;-1;-1;-1;-1;-1;;Oramfell
1330;6840;impassable;-1;-1;-1;-1;-1;;Oramfell
4759;4838;impassable;-1;-1;-1;-1;-1;;Oramfell
6840;4838;impassable;-1;-1;-1;-1;-1;;Oramfell
6819;4838;impassable;-1;-1;-1;-1;-1;;Oramfell
4759;811;impassable;-1;-1;-1;-1;-1;;Oramfell
983;811;impassable;-1;-1;-1;-1;-1;;Oramfell
2820;811;impassable;-1;-1;-1;-1;-1;;Oramfell
6789;811;impassable;-1;-1;-1;-1;-1;;Oramfell
6789;6744;impassable;-1;-1;-1;-1;-1;;Oramfell
2390;6744;impassable;-1;-1;-1;-1;-1;;Oramfell
6711;6744;impassable;-1;-1;-1;-1;-1;;Oramfell
2820;6744;impassable;-1;-1;-1;-1;-1;;Oramfell
2820;585;impassable;-1;-1;-1;-1;-1;;Oramfell
6819;1969;impassable;-1;-1;-1;-1;-1;;Oramfell
6840;1969;impassable;-1;-1;-1;-1;-1;;Oramfell
5196;2694;impassable;-1;-1;-1;-1;-1;;Oramfell
6840;2694;impassable;-1;-1;-1;-1;-1;;Oramfell
6871;2694;impassable;-1;-1;-1;-1;-1;;Oramfell
402;2694;impassable;-1;-1;-1;-1;-1;;Oramfell
402;1767;impassable;-1;-1;-1;-1;-1;;Oramfell
402;5001;impassable;-1;-1;-1;-1;-1;;Oramfell
1784;1767;impassable;-1;-1;-1;-1;-1;;Oramfell
6967;1767;impassable;-1;-1;-1;-1;-1;;Oramfell
4129;1784;impassable;-1;-1;-1;-1;-1;;Oramfell
4129;6967;impassable;-1;-1;-1;-1;-1;;Oramfell
4129;6997;impassable;-1;-1;-1;-1;-1;;Oramfell
2898;6966;impassable;-1;-1;-1;-1;-1;;Oramfell
2898;5315;impassable;-1;-1;-1;-1;-1;;Oramfell
2898;1784;impassable;-1;-1;-1;-1;-1;;Oramfell
2898;6996;impassable;-1;-1;-1;-1;-1;;Oramfell
7005;6996;impassable;-1;-1;-1;-1;-1;;Oramfell
7005;2898;impassable;-1;-1;-1;-1;-1;;Oramfell
7005;7044;impassable;-1;-1;-1;-1;-1;;Oramfell
7005;4129;impassable;-1;-1;-1;-1;-1;;Oramfell
530;2354;impassable;-1;-1;-1;-1;-1;;Oramfell
7005;5096;impassable;-1;-1;-1;-1;-1;;Oramfell
2626;2354;impassable;-1;-1;-1;-1;-1;;Oramfell
2626;4435;impassable;-1;-1;-1;-1;-1;;Oramfell
2626;6904;impassable;-1;-1;-1;-1;-1;;Oramfell
2626;5315;impassable;-1;-1;-1;-1;-1;;Oramfell
2626;6966;impassable;-1;-1;-1;-1;-1;;Oramfell
